,aggregator_name,transaction_date,e_product_id,e_backup_product_id,p_product_id,p_backup_product_id,product_title,vendor_code,product_type,imprint,product_format,publisher_price,trans_type,sale_type,agg_net_price_per_unit,tnf_net_price_per_unit,trans_currency,disc_percentage,disc_code,region_of_sale,total_rental_duration,pod,misc_product_ids,net_units,revenue_value,total_sales_count,total_sales_value,total_returns_count,total_returns_value
0,FOLLETT,01-08-2020,9780429674419,429674414,NA,NA,Healthcare Politics and Policy in America (ebook) 5th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,54.95,SALE,Sale,38.47,38.46,USD,0.30000000000000004,NA,US,0,NA,NA,1,38.47,1,38.47,0,0.0
1,FOLLETT,01-08-2020,9780429758430,042975843X,NA,NA,Electronic and Experimental Music (ebook) 6th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,59.95,SALE,Sale,41.97,41.96,USD,0.30000000000000004,NA,US,0,NA,NA,1,41.97,1,41.97,0,0.0
2,FOLLETT,01-08-2020,9780429841224,429841221,NA,NA,Design for Motion (ebook) 2nd,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,54.95,SALE,Sale,38.47,38.46,USD,0.30000000000000004,NA,US,0,NA,NA,1,38.47,1,38.47,0,0.0
3,FOLLETT,01-08-2020,9781134286836,113428683X,NA,NA,The Weimar Republic (ebook) 2nd,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,46.0,SALE,Sale,32.17,32.2,USD,0.30000000000000004,NA,US,0,NA,NA,1,32.17,1,32.17,0,0.0
4,FOLLETT,01-08-2020,9781134991716,1134991711,NA,NA,Victimology (ebook) 8th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,105.0,SALE,Sale,73.5,73.5,USD,0.30000000000000004,NA,US,0,NA,NA,1,73.5,1,73.5,0,0.0
5,FOLLETT,01-08-2020,9781317341833,131734183X,NA,NA,The Romance of Arthur (ebook) 3rd,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,65.95,SALE,Sale,46.17,46.16,USD,0.30000000000000004,NA,US,0,NA,NA,1,46.17,1,46.17,0,0.0
6,FOLLETT,01-08-2020,9781317351351,1317351355,NA,NA,Abnormal Child and Adolescent Psychology (ebook) 8th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,57.95,SALE,Sale,40.57,40.56,USD,0.30000000000000004,NA,US,0,NA,NA,1,40.57,1,40.57,0,0.0
7,FOLLETT,01-08-2020,9781317360827,1317360826,NA,NA,Contemporary Selling (ebook) 5th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,130.0,SALE,Sale,91.0,91.0,USD,0.30000000000000004,NA,US,0,NA,NA,1,91.0,1,91.0,0,0.0
8,FOLLETT,01-08-2020,9781351023924,1351023926,NA,NA,An Introduction to the Policy Process (ebook) 5th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,54.95,SALE,Sale,38.47,38.46,USD,0.30000000000000004,NA,US,0,NA,NA,1,38.47,1,38.47,0,0.0
9,FOLLETT,01-08-2020,9781351711098,1351711091,NA,NA,Introduction to Exercise Science (ebook) 5th,TAYL,EBK,TAYLOR &FRANCIS/ROUTLEDGE,NA,72.95,SALE,Sale,51.07,51.06,USD,0.30000000000000004,NA,US,0,NA,NA,1,51.07,1,51.07,0,0.0
