,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
0,62.35,GOOGLE,NA,0.19999999999999996,NA,9781136755767,Routledge,NA,1,NA,NA,NA,NA,Women in Movement (Routledge Revivals): Feminism and Social Action,EBK,77.94,CA,62.35,PURCHASE,31-10-2019,62.35,0,0,0.0,1,62.35,CAD,SALE,31-10-2019,NA
1,54.85,GOOGLE,NA,0.19999999999999996,NA,9781466510180,CRC Press,NA,1,NA,NA,NA,NA,"Fuels, Energy, and the Environment",EBK,68.56,CA,54.85,PURCHASE,31-10-2019,54.85,0,0,0.0,1,54.85,CAD,SALE,31-10-2019,NA
2,72.0,GOOGLE,NA,0.19999999999999996,NA,9781317976103,Psychology Press,NA,1,NA,NA,NA,NA,An Introduction to Cognitive Psychology: Processes and disorders,EBK,90.0,CA,72.0,PURCHASE,31-10-2019,72.0,0,0,0.0,1,72.0,CAD,SALE,31-10-2019,NA
3,54.03,GOOGLE,NA,0.19999999999999996,NA,9781136304378,Routledge,NA,1,NA,NA,NA,NA,Moral Psychology: A Contemporary Introduction,EBK,67.54,CA,54.03,PURCHASE,31-10-2019,54.03,0,0,0.0,1,54.03,CAD,SALE,31-10-2019,NA
4,60.8,GOOGLE,NA,0.19999999999999996,NA,9781134930029,Psychology Press,NA,1,NA,NA,NA,NA,Inside Case-Based Reasoning,EBK,76.0,CA,60.8,PURCHASE,31-10-2019,60.8,0,0,0.0,1,60.8,CAD,SALE,31-10-2019,NA
5,64.43,GOOGLE,NA,0.19999999999999996,NA,9781134060627,Routledge,NA,1,NA,NA,NA,NA,"The Routledge International Handbook of Children, Adolescents and Media",EBK,80.54,CA,64.43,PURCHASE,31-10-2019,64.43,0,0,0.0,1,64.43,CAD,SALE,31-10-2019,NA
6,51.2,GOOGLE,NA,0.19999999999999996,NA,9781351582124,Routledge,NA,1,NA,NA,NA,NA,Global Politics: A New Introduction,EBK,64.0,CA,51.2,PURCHASE,31-10-2019,51.2,0,0,0.0,1,51.2,CAD,SALE,31-10-2019,NA
7,32.65,GOOGLE,NA,0.19999999999999996,NA,9781351128643,Routledge,NA,1,NA,NA,NA,NA,Ethics and Public Policy: A Philosophical Inquiry,EBK,40.81,CA,32.65,PURCHASE,31-10-2019,32.65,0,0,0.0,1,32.65,CAD,SALE,31-10-2019,NA
8,67.55,GOOGLE,NA,0.19999999999999996,NA,9781317750864,Routledge,NA,1,NA,NA,NA,NA,Community and the Problem of Crime,EBK,84.44,CA,67.55,PURCHASE,31-10-2019,67.55,0,0,0.0,1,67.55,CAD,SALE,31-10-2019,NA
9,103.95,GOOGLE,NA,0.19999999999999996,NA,9781317610434,Psychology Press,NA,1,NA,NA,NA,NA,Memory,EBK,129.94,CA,103.95,PURCHASE,31-10-2019,103.95,0,0,0.0,1,103.95,CAD,SALE,31-10-2019,NA
